basin,melt_season,granule,region,xatc_total,nphot_total
CW,2020,ATL03_20200508150240_06580703_006_01.h5,GRE_2000_CW.geojson,2009996.472,33501802
CW,2020,ATL03_20200509034734_06660705_006_01.h5,GRE_2000_CW.geojson,1896204.227,4377111
CW,2020,ATL03_20200512145421_07190703_006_01.h5,GRE_2000_CW.geojson,2560919.527,52746954
CW,2020,ATL03_20200513033914_07270705_006_01.h5,GRE_2000_CW.geojson,1809903.419,11453505
CW,2020,ATL03_20200517033055_07880705_006_01.h5,GRE_2000_CW.geojson,2494557.024,11508996
CW,2020,ATL03_20200520143742_08410703_006_01.h5,GRE_2000_CW.geojson,2505380.943,85798543
CW,2020,ATL03_20200521032236_08490705_006_01.h5,GRE_2000_CW.geojson,881680.752,8317965
CW,2020,ATL03_20200524142922_09020703_006_01.h5,GRE_2000_CW.geojson,108674.356,5660807
CW,2020,ATL03_20200525031415_09100705_006_01.h5,GRE_2000_CW.geojson,564069.303,3422301
CW,2020,ATL03_20200526024835_09250705_006_01.h5,GRE_2000_CW.geojson,532408.282,1504555
CW,2020,ATL03_20200529135522_09780703_006_01.h5,GRE_2000_CW.geojson,284858.089,1580805
CW,2020,ATL03_20200530024016_09860705_006_01.h5,GRE_2000_CW.geojson,1136039.756,6222257
CW,2020,ATL03_20200602134702_10390703_006_01.h5,GRE_2000_CW.geojson,1154403.161,11740147
CW,2020,ATL03_20200606133842_11000703_006_01.h5,GRE_2000_CW.geojson,1561933.776,21035188
CW,2020,ATL03_20200607022335_11080705_006_01.h5,GRE_2000_CW.geojson,1799177.388,1603711
CW,2020,ATL03_20200610133021_11610703_006_01.h5,GRE_2000_CW.geojson,2522375.09,40386318
CW,2020,ATL03_20200611021514_11690705_006_01.h5,GRE_2000_CW.geojson,2053400.751,4286380
CW,2020,ATL03_20200614132201_12220703_006_01.h5,GRE_2000_CW.geojson,2591265.889,66351510
CW,2020,ATL03_20200615020654_12300705_006_01.h5,GRE_2000_CW.geojson,2442498.597,8097446
CW,2020,ATL03_20200618131341_12830703_006_01.h5,GRE_2000_CW.geojson,2547576.831,139812913
CW,2020,ATL03_20200619015835_12910705_006_01.h5,GRE_2000_CW.geojson,1079202.293,11852630
CW,2020,ATL03_20200622130522_13440703_006_01.h5,GRE_2000_CW.geojson,2014679.613,16535875
CW,2020,ATL03_20200623015015_13520705_006_01.h5,GRE_2000_CW.geojson,655210.408,9344923
CW,2020,ATL03_20200627014155_00260805_006_01.h5,GRE_2000_CW.geojson,78510.546,1113416
CW,2020,ATL03_20200628011616_00410805_006_01.h5,GRE_2000_CW.geojson,1036046.81,8054267
CW,2020,ATL03_20200701122303_00940803_006_01.h5,GRE_2000_CW.geojson,1044676.463,15546607
CW,2020,ATL03_20200702010756_01020805_006_01.h5,GRE_2000_CW.geojson,1329077.552,11163575
CW,2020,ATL03_20200705121441_01550803_006_01.h5,GRE_2000_CW.geojson,1660186.797,15654004
CW,2020,ATL03_20200706005932_01630805_006_01.h5,GRE_2000_CW.geojson,1698111.61,10517130
CW,2020,ATL03_20200709120621_02160803_006_01.h5,GRE_2000_CW.geojson,2346992.928,25838915
CW,2020,ATL03_20200710005115_02240805_006_01.h5,GRE_2000_CW.geojson,1992900.139,4187623
CW,2020,ATL03_20200713115804_02770803_006_01.h5,GRE_2000_CW.geojson,2574165.084,43719235
CW,2020,ATL03_20200714004257_02850805_006_01.h5,GRE_2000_CW.geojson,2347834.635,8817084
CW,2020,ATL03_20200717114945_03380803_006_01.h5,GRE_2000_CW.geojson,2594068.375,100586040
CW,2020,ATL03_20200718003439_03460805_006_01.h5,GRE_2000_CW.geojson,2535627.861,15785107
CW,2020,ATL03_20200721114126_03990803_006_01.h5,GRE_2000_CW.geojson,2489314.55,29024317
